ebs,mufredat,ad,sz,hoca,yy
606001012011,MAT107,MATEMATİK-I                                                                     ,Z,Fen-Edebiyat Fakültesi Matematik Bölümü,1
606001022011,MAT108,MATEMATİK-II                                                                    ,Z,Fen-Edebiyat Fakültesi Matematik Bölümü,2
606001212011,FİZ105,FİZİK-I                                                                         ,Z,Prof.Dr. Bünyamin KARABULUT,1
606001222011,FİZ106,FİZİK-II                                                                        ,Z,Prof.Dr. Bünyamin KARABULUT,2
606002012011,BİL203,VERİ YAPILARI                                                                   ,Z,Yrd.Doç.Dr. Nurettin ŞENYER,3
606002222010,BİL290,STAJ-I                                                                          ,Z,Yrd.Doç.Dr. Erhan ERGÜN,4
606003202011,BİL302,İŞLETİM SİSTEMLERİ                                                              ,Z,Yrd.Doç.Dr. Recai OKTAŞ,6
606003222010,BİL390,STAJ-II                                                                         ,Z,Yrd.Doç.Dr. Erhan ERGÜN,6
ADSD,ADSD,ALANDIŞI SEÇMELİ DERS,Z,Generik,2
BİL101,BİL101,BİLGİSAYAR MÜHENDİSLİĞİNE GİRİŞ ,Z,Yrd.Doç.Dr. Kerem ERZURUMLU,1
BİL103,BİL103,PROGRAMLAMAYA GİRİŞ - I,Z,Yrd.Doç.Dr. Nurettin ŞENYER,1
BİL104,BİL104,PROGRAMLAMAYA GİRİŞ-II,Z,Yrd.Doç.Dr. Nurettin ŞENYER,2
BİL108,BİL108,ELEKTRİK DEVRELERİ VE ELEKTRONİK,Z,Yrd.Doç.Dr. Erhan ERGÜN,2
BİL121,BİL121,AYRIK MATEMATİK,Z,Yrd.Doç.Dr. Sedat AKLEYLEK,1
BİL124,BİL124,OLASILIK VE İSTATİSTİĞE GİRİŞ,Z,Yrd.Doç.Dr. Sedat AKLEYLEK,2
BİL201,BİL201,SAYISAL DEVRELER VE MANTIKSAL TAS.,Z,Doç.Dr. Erdal KILIÇ,3
BİL204,BİL204,ALGORİTMALAR,Z,Yrd.Doç.Dr. Nurettin ŞENYER,4
